id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,source_image
1,"When changing direct speech to indirect speech, 'here' changes to:",There,That,This,Now,A,"In indirect speech, 'here' changes to 'there' to reflect the change in perspective.",English,IMG_6497.jpg
2,"In indirect speech, 'today' changes to:",Yesterday,That day,Tomorrow,The next day,B,'Today' changes to 'that day' in indirect speech to indicate a shift in time.,English,IMG_6497.jpg
3,Which of the following is the correct change for 'yesterday' in indirect speech?,The next day,Tomorrow,The previous day,Today,C,'Yesterday' becomes 'the previous day' or 'the last day' in indirect speech.,English,IMG_6497.jpg
4,"When converting direct speech to indirect speech, 'tomorrow' becomes:",Yesterday,Today,The previous day,The next day,D,'Tomorrow' changes to 'the next day' or 'the following day' in indirect speech.,English,IMG_6497.jpg
5,"In indirect speech, 'this' changes to:",Here,There,That,Now,C,'This' changes to 'that' in indirect speech to reflect the change in perspective.,English,IMG_6497.jpg
6,Which of the following is the correct change for 'tonight' in indirect speech?,Today,That day,That night,Tomorrow,C,'Tonight' changes to 'that night' in indirect speech.,English,IMG_6497.jpg
7,"In indirect speech, 'now' changes to:",Here,Then,There,That,B,'Now' changes to 'then' in indirect speech to indicate a shift in time.,English,IMG_6497.jpg
8,Which modal auxiliary changes to 'would' in indirect speech?,Can,May,Will,Must,C,'Will' changes to 'would' when converting direct speech to indirect speech.,English,IMG_6497.jpg
9,Which modal auxiliary changes to 'could' in indirect speech?,Will,May,Can,Must,C,'Can' changes to 'could' when converting direct speech to indirect speech.,English,IMG_6497.jpg
10,Which modal auxiliary changes to 'might' in indirect speech?,Will,May,Can,Must,B,'May' changes to 'might' when converting direct speech to indirect speech.,English,IMG_6497.jpg
11,Which modal auxiliary changes to 'had to' in indirect speech?,Will,May,Can,Must,D,'Must' changes to 'had to' when converting direct speech to indirect speech.,English,IMG_6497.jpg
12,"When reporting a 'yes' or 'no' question in indirect speech, which word is often used?",That,Whether,What,Why,B,'Whether' is used to introduce a 'yes' or 'no' question in indirect speech.,English,IMG_6497.jpg
